sku_id,week_start,units_sold,forecast_weekly_demand,on_hand_units,reorder_point,safety_stock,on_order_units,sku_name,category,subcategory,brand,cost_price,inventory_data_available,inventory_position,forecast_horizon_demand,weeks_of_cover,lead_time_demand,projected_inventory_4w,risk,recommended_action,stockout_exposure,excess_inventory_value
SKU00001,2025-12-29,24.0,19.549801227727077,215.0,100.0,33.0,0.0,NutriPlus Cookware Large,Home & Kitchen,Cookware,NutriPlus,619.77,1,215.0,78.1992049109083,10.997554271552898,19.549801227727077,136.8007950890917,HEALTHY,Maintain current inventory,0.0,0.0
SKU00002,2025-12-29,128.0,179.78172646302937,0.0,1582.0,573.0,0.0,CrispKing Bread Family Pack,Dairy & Bakery,Bread,CrispKing,49.57,1,0.0,719.1269058521175,0.0,179.78172646302937,-719.1269058521175,STOCKOUT RISK,Expedite replenishment,35647.120723089465,0.0
SKU00003,2025-12-29,0.0,6.242045345582566,414.0,250.0,85.0,0.0,SoftTouch Notebooks 2L,Stationery & Office,Notebooks,SoftTouch,83.67,1,414.0,24.968181382330265,66.32441404690911,6.242045345582566,389.0318186176697,OVERSTOCK,Reduce / defer replenishment,0.0,32550.292263740426
SKU00004,2025-12-29,8.0,12.880455029117492,148.0,99.0,35.0,0.0,SunriseFoods Eggs Large,Dairy & Bakery,Eggs,SunriseFoods,156.32,1,148.0,51.52182011646997,11.490277297302924,12.880455029117492,96.47817988353003,HEALTHY,Maintain current inventory,0.0,0.0
SKU00005,2025-12-29,3.0,12.140713325216295,411.0,284.0,104.0,0.0,SunriseFoods Pest Control Pack of 6,Home Care,Pest Control,SunriseFoods,83.46,1,411.0,48.56285330086518,33.85303556639888,12.140713325216295,362.4371466991348,OVERSTOCK,Reduce / defer replenishment,0.0,30249.00426350979
SKU00006,2025-12-29,4.0,13.330308546735585,621.0,324.0,130.0,0.0,UrbanBite OTC Medicine 100g,Health & Wellness,OTC Medicine,UrbanBite,830.81,1,621.0,53.32123418694234,46.5855683552107,13.330308546735585,567.6787658130577,OVERSTOCK,Reduce / defer replenishment,0.0,471633.19542514643
SKU00007,2025-12-29,9.0,23.704957419017717,87.0,163.0,54.0,0.0,GreenValley Energy Drinks Pack of 12,Beverages,Energy Drinks,GreenValley,78.97,1,87.0,94.81982967607087,3.67011838334722,23.704957419017717,-7.819829676070867,WATCH,Review replenishment plan,0.0,0.0
SKU00008,2025-12-29,5.0,8.305952762237512,,,,0.0,CleanWave Frozen Vegetables 100g,Frozen Foods,Frozen Vegetables,CleanWave,358.31,0,0.0,33.22381104895005,0.0,8.305952762237512,-33.22381104895005,NO INVENTORY DATA,Obtain current inventory position,0.0,0.0
SKU00009,2025-12-29,5.0,7.008226904452683,85.0,154.0,39.0,0.0,SmartBuy Frozen Vegetables Medium,Frozen Foods,Frozen Vegetables,SmartBuy,178.03,1,85.0,28.032907617810732,12.12860273487937,7.008226904452683,56.967092382189264,WATCH,Review replenishment plan,0.0,0.0
SKU00010,2025-12-29,2.0,9.46986237640404,,,,0.0,SparkleClean Footwear 250ml,Apparel & Footwear,Footwear,SparkleClean,1096.65,0,0.0,37.87944950561616,0.0,9.46986237640404,-37.87944950561616,NO INVENTORY DATA,Obtain current inventory position,0.0,0.0
SKU00011,2025-12-29,5.0,7.528281303661485,3.0,35.0,17.0,0.0,PremiumSelect Writing Instruments 500g,Stationery & Office,Writing Instruments,PremiumSelect,83.12,1,3.0,30.11312521464594,0.3984973301330953,7.528281303661485,-27.11312521464594,STOCKOUT RISK,Expedite replenishment,2253.6429678413706,0.0
SKU00012,2025-12-29,11.0,6.962319350856404,7156.0,1551.0,546.0,0.0,HomeStyle Vitamins & Supplements 1kg,Health & Wellness,Vitamins & Supplements,HomeStyle,526.59,1,7156.0,27.849277403425617,1027.8184092661265,6.962319350856404,7128.150722596574,OVERSTOCK,Reduce / defer replenishment,0.0,3753612.8890121304
SKU00013,2025-12-29,9.0,19.862511623722167,314.0,145.0,55.0,0.0,PrimeCare Hair Care Pack of 12,Personal Care,Hair Care,PrimeCare,402.76,1,314.0,79.45004649488867,15.808675455977278,19.862511623722167,234.54995350511132,OVERSTOCK,Reduce / defer replenishment,0.0,94467.33927371864
SKU00014,2025-12-29,3.0,6.2564268076584995,33.0,76.0,17.0,0.0,EliteHome Men's Grooming Medium,Personal Care,Men's Grooming,EliteHome,126.47,1,33.0,25.025707230633998,5.274576210114799,6.2564268076584995,7.974292769366002,WATCH,Review replenishment plan,0.0,0.0
SKU00015,2025-12-29,11.0,17.646879954971464,79.0,28.0,12.0,0.0,EverydayPlus Dishwashing 2L,Home Care,Dishwashing,EverydayPlus,205.47,1,79.0,70.58751981988586,4.476712042104881,17.646879954971464,8.412480180114144,HEALTHY,Maintain current inventory,0.0,0.0
SKU00016,2025-12-29,23.0,47.949136340942005,106.0,56.0,22.0,0.0,PrimeCare Men's Wear 500g,Apparel & Footwear,Men's Wear,PrimeCare,2163.92,1,106.0,191.79654536376802,2.21067589719005,47.949136340942005,-85.79654536376802,HEALTHY,Maintain current inventory,0.0,0.0
SKU00017,2025-12-29,8.0,6.498610450777441,77.0,55.0,19.0,0.0,CleanWave Eggs Large,Dairy & Bakery,Eggs,CleanWave,218.27,1,77.0,25.994441803109765,11.848686820547666,6.498610450777441,51.005558196890235,HEALTHY,Maintain current inventory,0.0,0.0
SKU00018,2025-12-29,6.0,6.9916723282342526,148.0,188.0,55.0,0.0,PurePlus Chips & Crisps Small,Snacks & Confectionery,Chips & Crisps,PurePlus,70.86,1,148.0,27.96668931293701,21.168040069946674,6.9916723282342526,120.033310687063,WATCH,Review replenishment plan,0.0,0.0
SKU00019,2025-12-29,22.0,24.767386356052306,120.0,86.0,40.0,0.0,PremiumSelect Hair Care 500ml,Personal Care,Hair Care,PremiumSelect,229.13,1,120.0,99.06954542420922,4.845081280474962,24.767386356052306,20.930454575790776,HEALTHY,Maintain current inventory,0.0,0.0
SKU00020,2025-12-29,44.0,64.95874769087571,0.0,1358.0,498.0,0.0,SmartBuy Rice & Grains 2L,Grocery,Rice & Grains,SmartBuy,69.58,1,0.0,259.83499076350284,0.0,64.95874769087571,-259.83499076350284,STOCKOUT RISK,Expedite replenishment,18079.318657324526,0.0
SKU00021,2025-12-29,9.0,6.479531359789436,252.0,111.0,43.0,0.0,DailyBest Tea Family Pack,Beverages,Tea,DailyBest,73.74,1,252.0,25.918125439157745,38.891701576422214,6.479531359789436,226.08187456084227,OVERSTOCK,Reduce / defer replenishment,0.0,16671.27743011651
SKU00022,2025-12-29,2.0,8.157726920112664,,,,0.0,PrimeCare Bottled Water 250ml,Beverages,Bottled Water,PrimeCare,147.24,0,0.0,32.630907680450655,0.0,8.157726920112664,-32.630907680450655,NO INVENTORY DATA,Obtain current inventory position,0.0,0.0
SKU00023,2025-12-29,5.0,9.503136787899463,20.0,39.0,13.0,0.0,MetroBrand Footwear 100g,Apparel & Footwear,Footwear,MetroBrand,1381.64,1,20.0,38.01254715159785,2.1045682542911943,9.503136787899463,-18.01254715159785,WATCH,Review replenishment plan,0.0,0.0
SKU00024,2025-12-29,1.0,6.990025576379637,6453.0,1467.0,490.0,0.0,HealthFirst Batteries 500g,Electronics & Accessories,Batteries,HealthFirst,1671.96,1,6453.0,27.960102305518546,923.1725877807474,6.990025576379637,6425.039897694482,OVERSTOCK,Reduce / defer replenishment,0.0,10742409.707349265
SKU00025,2025-12-29,3.0,9.5769381278514,213.0,169.0,57.0,0.0,CityFresh Mobile Accessories Pack of 6,Electronics & Accessories,Mobile Accessories,CityFresh,1483.61,1,213.0,38.3077525114056,22.24092890195865,9.5769381278514,174.6922474885944,OVERSTOCK,Reduce / defer replenishment,0.0,259175.16529655352
SKU00026,2025-12-29,8.0,7.077531852300396,81.0,51.0,24.0,0.0,PrimeCare Laundry Family Pack,Home Care,Laundry,PrimeCare,190.99,1,81.0,28.310127409201584,11.444667673755891,7.077531852300396,52.689872590798416,HEALTHY,Maintain current inventory,0.0,0.0
SKU00027,2025-12-29,15.0,24.30745588466439,204.0,113.0,39.0,0.0,TrueTaste Mobile Accessories Small,Electronics & Accessories,Mobile Accessories,TrueTaste,435.8,1,204.0,97.22982353865756,8.392486690830689,24.30745588466439,106.77017646134244,HEALTHY,Maintain current inventory,0.0,0.0
SKU00028,2025-12-29,3.0,7.329476909702814,371.0,247.0,76.0,0.0,NatureBlend Bottled Water Pack of 6,Beverages,Bottled Water,NatureBlend,63.96,1,371.0,29.317907638811256,50.61752763131944,7.329476909702814,341.6820923611887,OVERSTOCK,Reduce / defer replenishment,0.0,21853.98662742163
